Enter countryCodeValue :IND
ID: 1024, Name: Mumbai (Bombay), CountryCode: IND, District: Maharashtra, Population: 10500000
ID: 1025, Name: Delhi, CountryCode: IND, District: Delhi, Population: 7206704
ID: 1026, Name: Calcutta [Kolkata], CountryCode: IND, District: West Bengali, Population: 4399819
ID: 1027, Name: Chennai (Madras), CountryCode: IND, District: Tamil Nadu, Population: 3841396
ID: 1028, Name: Hyderabad, CountryCode: IND, District: Andhra Pradesh, Population: 2964638
ID: 1029, Name: Ahmedabad, CountryCode: IND, District: Gujarat, Population: 2876710
ID: 1030, Name: Bangalore, CountryCode: IND, District: Karnataka, Population: 2660088
ID: 1031, Name: Kanpur, CountryCode: IND, District: Uttar Pradesh, Population: 1874409
ID: 1032, Name: Nagpur, CountryCode: IND, District: Maharashtra, Population: 1624752
ID: 1033, Name: Lucknow, CountryCode: IND, District: Uttar Pradesh, Population: 1619115
ID: 1034, Name: Pune, CountryCode: IND, District: Maharashtra, Population: 1566651
ID: 1035, Name: Surat, CountryCode: IND, District: Gujarat, Population: 1498817
ID: 1036, Name: Jaipur, CountryCode: IND, District: Rajasthan, Population: 1458483
ID: 1037, Name: Indore, CountryCode: IND, District: Madhya Pradesh, Population: 1091674
ID: 1038, Name: Bhopal, CountryCode: IND, District: Madhya Pradesh, Population: 1062771
ID: 1039, Name: Ludhiana, CountryCode: IND, District: Punjab, Population: 1042740
ID: 1040, Name: Vadodara (Baroda), CountryCode: IND, District: Gujarat, Population: 1031346
ID: 1041, Name: Kalyan, CountryCode: IND, District: Maharashtra, Population: 1014557
ID: 1042, Name: Madurai, CountryCode: IND, District: Tamil Nadu, Population: 977856
ID: 1043, Name: Haora (Howrah), CountryCode: IND, District: West Bengali, Population: 950435
ID: 1044, Name: Varanasi (Benares), CountryCode: IND, District: Uttar Pradesh, Population: 929270
ID: 1045, Name: Patna, CountryCode: IND, District: Bihar, Population: 917243
ID: 1046, Name: Srinagar, CountryCode: IND, District: Jammu and Kashmir, Population: 892506
ID: 1047, Name: Agra, CountryCode: IND, District: Uttar Pradesh, Population: 891790
ID: 1048, Name: Coimbatore, CountryCode: IND, District: Tamil Nadu, Population: 816321
ID: 1049, Name: Thane (Thana), CountryCode: IND, District: Maharashtra, Population: 803389
ID: 1050, Name: Allahabad, CountryCode: IND, District: Uttar Pradesh, Population: 792858
